,age_group,sex,ethnicity,region,class
2993,C02B,C04B,C12A,C13B,N
2994,C02D,C04A,C12B,C13H,N
2995,C02C,C04A,C12B,C13J,Y
2996,C02C,C04A,C12A,C13B,N
2997,C02B,C04A,C12A,C13G,N
2998,C02C,C04A,C12A,C13D,N
2999,C02C,C04B,C12A,C13L,N
3000,C02D,C04A,C12A,C13B,N
3001,C02C,C04B,C12A,C13A,N
3002,C02B,C04B,C12A,C13J,N
3003,C02C,C04A,C12A,C13H,N
3004,C02C,C04A,C12D,C13G,Y
3005,C02A,C04B,C12B,C13F,N
3006,C02D,C04B,C12A,C13C,N
3007,C02B,C04B,C12A,C13D,N
3008,C02B,C04A,C12A,C13D,N
3009,C02C,C04A,C12A,C13B,N
3010,C02B,C04A,C12B,C13B,N
3011,C02B,C04A,C12A,C13B,N
3012,C02D,C04B,C12A,C13F,N
3013,C02B,C04A,C12D,C13D,N
3014,C02B,C04A,C12A,C13H,N
3015,C02D,C04A,C12B,C13A,Y
3016,C02B,C04A,C12A,C13H,N
3017,C02A,C04A,C12B,C13B,N
3018,C02D,C04A,C12A,C13G,Y
3019,C02C,C04B,C12B,C13B,Y
3020,C02B,C04A,C12A,C13D,N
3021,C02C,C04A,C12B,C13A,N
3022,C02B,C04A,C12D,C13H,N
3023,C02D,C04A,C12A,C13J,N
3024,C02A,C04A,C12A,C13B,N
3025,C02D,C04B,C12A,C13B,N
3026,C02B,C04A,C12D,C13D,N
3027,C02C,C04A,C12A,C13H,N
3028,C02D,C04A,C12B,C13B,N
3029,C02C,C04B,C12A,C13B,N
3030,C02C,C04A,C12A,C13H,N
3031,C02A,C04A,C12A,C13J,N
3032,C02A,C04A,C12A,C13J,N
3033,C02B,C04B,C12A,C13E,Y
3034,C02B,C04B,C12A,C13B,N
3035,C02D,C04B,C12A,C13B,N
3036,C02B,C04A,C12A,C13K,N
3037,C02A,C04A,C12B,C13B,Y
3038,C02A,C04A,C12A,C13J,N
3039,C02B,C04B,C12A,C13B,N
3040,C02C,C04A,C12A,C13B,N
3041,C02D,C04A,C12D,C13B,N
3042,C02A,C04A,C12B,C13C,N
3043,C02B,C04B,C12A,C13F,N
3044,C02D,C04A,C12D,C13B,N
3045,C02A,C04B,C12A,C13D,Y
3046,C02C,C04A,C12A,C13G,N
3047,C02B,C04B,C12A,C13A,N
3048,C02A,C04B,C12A,C13C,N
3049,C02D,C04A,C12D,C13J,N
3050,C02B,C04A,C12A,C13G,N
3051,C02A,C04A,C12B,C13H,N
3052,C02B,C04B,C12A,C13J,N
3053,C02C,C04A,C12A,C13C,N
3054,C02C,C04B,C12B,C13B,N
3055,C02B,C04B,C12A,C13C,N
3056,C02C,C04A,C12A,C13A,N
3057,C02B,C04A,C12D,C13I,Y
3058,C02C,C04B,C12A,C13B,N
3059,C02C,C04A,C12B,C13B,N
3060,C02B,C04B,C12A,C13F,N
3061,C02C,C04B,C12A,C13H,N
3062,C02B,C04B,C12A,C13G,N
3063,C02D,C04B,C12A,C13B,N
3064,C02C,C04A,C12A,C13H,N
3065,C02B,C04A,C12A,C13B,N
3066,C02A,C04B,C12A,C13H,N
3067,C02B,C04A,C12C,C13B,N
3068,C02C,C04B,C12A,C13B,N
3069,C02B,C04A,C12A,C13H,N
3070,C02A,C04B,C12A,C13B,N
3071,C02A,C04B,C12A,C13C,N
3072,C02C,C04B,C12C,C13B,Y
3073,C02B,C04B,C12A,C13H,N
3074,C02C,C04B,C12A,C13D,N
3075,C02B,C04A,C12A,C13B,N
3076,C02B,C04B,C12A,C13B,N
3077,C02B,C04B,C12A,C13J,N
3078,C02D,C04A,C12A,C13E,N
3079,C02C,C04B,C12A,C13H,N
3080,C02B,C04B,C12C,C13B,N
3081,C02D,C04A,C12B,C13G,N
3082,C02C,C04A,C12A,C13G,N
3083,C02C,C04A,C12A,C13C,N
3084,C02A,C04B,C12A,C13B,N
3085,C02C,C04A,C12A,C13B,N
3086,C02D,C04B,C12A,C13B,N
3087,C02A,C04A,C12A,C13H,N
3088,C02C,C04B,C12A,C13C,N
3089,C02C,C04A,C12A,C13E,Y
3090,C02C,C04B,C12A,C13C,N
3091,C02C,C04B,C12A,C13B,N
3092,C02C,C04A,C12B,C13G,N
3093,C02B,C04A,C12B,C13H,N
3094,C02C,C04B,C12C,C13L,N
3095,C02C,C04A,C12A,C13B,N
3096,C02B,C04B,C12A,C13H,Y
3097,C02B,C04B,C12A,C13I,N
3098,C02A,C04A,C12A,C13B,N
3099,C02D,C04A,C12B,C13G,N
3100,C02B,C04A,C12A,C13C,N
3101,C02A,C04B,C12A,C13B,N
3102,C02C,C04B,C12A,C13B,N
3103,C02D,C04A,C12A,C13H,N
3104,C02D,C04A,C12C,C13A,N
3105,C02C,C04A,C12A,C13B,N
3106,C02D,C04B,C12A,C13J,N
3107,C02D,C04A,C12A,C13F,N
3108,C02C,C04A,C12D,C13D,N
3109,C02B,C04A,C12A,C13B,N
3110,C02B,C04A,C12A,C13C,N
3111,C02D,C04B,C12C,C13H,N
3112,C02C,C04A,C12B,C13B,N
3113,C02D,C04A,C12A,C13B,N
3114,C02A,C04B,C12D,C13G,Y
3115,C02C,C04B,C12B,C13B,N
3116,C02A,C04A,C12A,C13H,N
3117,C02C,C04A,C12A,C13L,N
3118,C02B,C04A,C12A,C13J,N
3119,C02D,C04A,C12C,C13B,N
3120,C02B,C04A,C12A,C13K,N
3121,C02C,C04A,C12A,C13J,N
3122,C02D,C04A,C12D,C13G,N
3123,C02B,C04B,C12A,C13B,N
3124,C02C,C04A,C12A,C13B,N
3125,C02C,C04B,C12A,C13J,N
3126,C02C,C04A,C12B,C13B,Y
3127,C02B,C04A,C12A,C13A,Y
3128,C02A,C04A,C12D,C13B,Y
3129,C02C,C04B,C12A,C13B,N
3130,C02D,C04A,C12A,C13B,N
3131,C02C,C04B,C12A,C13H,N
3132,C02B,C04B,C12A,C13J,N
3133,C02B,C04B,C12B,C13B,N
3134,C02D,C04B,C12A,C13H,N
3135,C02C,C04A,C12D,C13D,N
3136,C02C,C04B,C12A,C13L,Y
3137,C02B,C04A,C12A,C13G,N
3138,C02A,C04B,C12A,C13D,N
3139,C02B,C04B,C12A,C13H,N
3140,C02D,C04A,C12A,C13H,N
3141,C02B,C04A,C12D,C13G,Y
3142,C02C,C04A,C12A,C13B,Y
3143,C02B,C04B,C12A,C13B,Y
3144,C02D,C04A,C12A,C13I,N
3145,C02D,C04B,C12A,C13B,Y
3146,C02C,C04B,C12B,C13G,Y
3147,C02B,C04A,C12A,C13B,N
3148,C02D,C04A,C12A,C13B,N
3149,C02C,C04B,C12A,C13A,N
3150,C02C,C04A,C12A,C13C,N
3151,C02D,C04B,C12A,C13I,N
3152,C02A,C04A,C12A,C13E,N
3153,C02C,C04B,C12D,C13B,N
3154,C02C,C04A,C12A,C13K,N
3155,C02C,C04A,C12A,C13K,N
3156,C02A,C04B,C12A,C13B,N
3157,C02C,C04B,C12A,C13C,N
3158,C02D,C04B,C12A,C13H,N
3159,C02C,C04B,C12A,C13L,N
3160,C02C,C04B,C12A,C13C,N
3161,C02A,C04A,C12B,C13C,N
3162,C02B,C04A,C12A,C13B,N
3163,C02A,C04A,C12A,C13J,N
3164,C02C,C04A,C12A,C13B,Y
3165,C02C,C04A,C12A,C13G,N
3166,C02B,C04B,C12A,C13B,N
3167,C02D,C04A,C12A,C13B,N
3168,C02B,C04A,C12A,C13K,N
3169,C02B,C04A,C12D,C13E,N
3170,C02D,C04A,C12A,C13K,N
3171,C02B,C04B,C12A,C13B,Y
3172,C02A,C04A,C12A,C13B,N
3173,C02C,C04A,C12D,C13B,Y
3174,C02C,C04A,C12C,C13D,N
3175,C02C,C04A,C12A,C13E,N
3176,C02C,C04A,C12A,C13B,N
3177,C02D,C04A,C12A,C13D,N
3178,C02D,C04B,C12A,C13B,N
3179,C02C,C04B,C12A,C13J,N
3180,C02C,C04B,C12A,C13D,N
3181,C02C,C04B,C12A,C13B,N
3182,C02B,C04B,C12A,C13H,N
3183,C02A,C04A,C12A,C13B,N
3184,C02A,C04A,C12A,C13B,N
3185,C02D,C04B,C12A,C13J,Y
3186,C02B,C04A,C12A,C13I,N
3187,C02C,C04B,C12B,C13B,N
3188,C02C,C04A,C12A,C13B,N
3189,C02B,C04A,C12A,C13H,N
3190,C02A,C04A,C12A,C13C,N
3191,C02C,C04A,C12D,C13C,N
3192,C02C,C04A,C12A,C13J,N
3193,C02C,C04B,C12B,C13B,N
3194,C02A,C04A,C12A,C13F,N
3195,C02B,C04B,C12A,C13H,N
3196,C02D,C04B,C12A,C13D,Y
3197,C02A,C04B,C12A,C13K,N
3198,C02C,C04A,C12C,C13E,Y
3199,C02B,C04A,C12A,C13B,Y
3200,C02C,C04A,C12C,C13C,Y
3201,C02B,C04A,C12B,C13B,N
3202,C02B,C04A,C12B,C13J,N
3203,C02B,C04A,C12A,C13D,N
3204,C02B,C04A,C12A,C13B,Y
3205,C02D,C04B,C12A,C13C,N
3206,C02C,C04B,C12A,C13B,N
3207,C02C,C04B,C12B,C13H,N
3208,C02C,C04B,C12A,C13B,Y
3209,C02C,C04B,C12A,C13I,N
3210,C02C,C04A,C12A,C13F,N
3211,C02C,C04B,C12B,C13G,N
3212,C02D,C04B,C12A,C13J,N
3213,C02B,C04A,C12C,C13C,N
3214,C02C,C04B,C12D,C13B,N
3215,C02C,C04B,C12A,C13C,N
3216,C02B,C04B,C12A,C13J,Y
3217,C02B,C04A,C12B,C13C,N
3218,C02B,C04A,C12B,C13H,N
3219,C02A,C04B,C12A,C13J,N
3220,C02A,C04A,C12A,C13H,N
3221,C02D,C04B,C12B,C13B,N
3222,C02B,C04B,C12A,C13B,N
3223,C02D,C04B,C12D,C13H,N
3224,C02D,C04B,C12B,C13C,N
3225,C02C,C04B,C12C,C13I,N
3226,C02A,C04B,C12B,C13J,N
3227,C02C,C04A,C12A,C13D,N
3228,C02B,C04B,C12A,C13B,N
3229,C02B,C04B,C12A,C13A,N
3230,C02B,C04B,C12B,C13D,Y
3231,C02D,C04B,C12A,C13K,N
3232,C02A,C04B,C12B,C13I,N
3233,C02D,C04A,C12A,C13B,N
3234,C02B,C04B,C12A,C13B,N
3235,C02A,C04B,C12A,C13D,N
3236,C02D,C04B,C12A,C13H,N
3237,C02C,C04A,C12A,C13I,N
3238,C02A,C04B,C12A,C13D,N
3239,C02B,C04A,C12B,C13I,N
3240,C02B,C04B,C12A,C13B,N
3241,C02B,C04B,C12A,C13B,N
3242,C02B,C04A,C12A,C13B,Y
3243,C02C,C04B,C12A,C13B,N
3244,C02B,C04B,C12B,C13C,Y
3245,C02B,C04A,C12A,C13J,N
3246,C02B,C04B,C12A,C13G,N
3247,C02B,C04A,C12B,C13C,N
3248,C02C,C04B,C12D,C13B,N
3249,C02D,C04A,C12A,C13H,Y
3250,C02A,C04B,C12D,C13E,N
3251,C02D,C04B,C12A,C13B,N
3252,C02C,C04B,C12A,C13B,N
3253,C02B,C04A,C12C,C13A,Y
3254,C02B,C04A,C12A,C13J,N
3255,C02C,C04A,C12A,C13F,N
3256,C02B,C04B,C12A,C13D,N
3257,C02D,C04B,C12A,C13B,N
3258,C02D,C04B,C12A,C13H,N
3259,C02C,C04A,C12A,C13B,Y
3260,C02D,C04B,C12A,C13J,N
3261,C02A,C04B,C12A,C13K,N
3262,C02B,C04B,C12A,C13B,N
3263,C02B,C04A,C12D,C13H,N
3264,C02B,C04A,C12B,C13B,Y
3265,C02B,C04B,C12A,C13D,N
3266,C02C,C04B,C12A,C13B,N
3267,C02B,C04B,C12A,C13B,N
3268,C02C,C04B,C12A,C13G,N
3269,C02C,C04B,C12A,C13C,Y
3270,C02D,C04A,C12C,C13B,N
3271,C02B,C04B,C12A,C13H,N
3272,C02D,C04B,C12A,C13I,N
3273,C02A,C04B,C12D,C13H,Y
3274,C02B,C04B,C12A,C13B,N
3275,C02B,C04A,C12A,C13B,N
3276,C02B,C04B,C12A,C13B,N
3277,C02B,C04A,C12A,C13K,N
3278,C02C,C04B,C12B,C13B,Y
3279,C02A,C04B,C12A,C13E,N
3280,C02C,C04B,C12D,C13B,N
3281,C02B,C04A,C12D,C13B,N
3282,C02D,C04B,C12A,C13B,N
3283,C02C,C04A,C12A,C13J,Y
3284,C02B,C04B,C12D,C13H,Y
3285,C02C,C04B,C12A,C13G,N
3286,C02B,C04A,C12A,C13G,Y
3287,C02A,C04A,C12A,C13E,Y
3288,C02D,C04A,C12D,C13B,N
3289,C02B,C04B,C12D,C13B,N
3290,C02A,C04B,C12A,C13H,N
3291,C02B,C04B,C12D,C13E,N
3292,C02B,C04A,C12A,C13B,N
3293,C02C,C04A,C12A,C13D,Y
3294,C02A,C04A,C12A,C13H,N
3295,C02C,C04A,C12D,C13D,N
3296,C02B,C04B,C12D,C13B,N
3297,C02C,C04A,C12D,C13B,N
3298,C02A,C04A,C12A,C13I,N
3299,C02C,C04A,C12A,C13H,Y
3300,C02C,C04B,C12A,C13H,N
3301,C02B,C04A,C12B,C13G,N
3302,C02B,C04A,C12A,C13B,N
3303,C02D,C04A,C12A,C13F,N
3304,C02B,C04A,C12D,C13B,N
3305,C02C,C04B,C12A,C13J,N
3306,C02B,C04B,C12A,C13C,N
3307,C02C,C04A,C12B,C13B,N
3308,C02B,C04B,C12B,C13B,N
3309,C02B,C04A,C12A,C13H,N
3310,C02C,C04A,C12A,C13I,N
3311,C02B,C04B,C12A,C13B,N
3312,C02A,C04B,C12A,C13J,N
3313,C02B,C04A,C12D,C13C,N
3314,C02D,C04B,C12A,C13C,N
3315,C02D,C04A,C12A,C13J,N
3316,C02A,C04B,C12B,C13D,N
3317,C02B,C04B,C12A,C13I,N
3318,C02C,C04B,C12D,C13B,N
3319,C02A,C04B,C12B,C13B,N
3320,C02B,C04B,C12A,C13C,Y
3321,C02A,C04B,C12C,C13H,N
3322,C02A,C04A,C12A,C13A,N
3323,C02A,C04B,C12A,C13E,N
3324,C02C,C04A,C12B,C13H,N
3325,C02C,C04B,C12A,C13B,N
3326,C02C,C04A,C12B,C13E,Y
3327,C02C,C04B,C12A,C13K,Y
3328,C02A,C04A,C12A,C13B,N
3329,C02B,C04A,C12A,C13I,N
3330,C02D,C04A,C12D,C13D,N
3331,C02A,C04A,C12B,C13K,Y
3332,C02C,C04B,C12A,C13A,Y
3333,C02D,C04B,C12A,C13G,N
3334,C02A,C04A,C12A,C13L,N
3335,C02C,C04B,C12D,C13B,N
3336,C02C,C04A,C12D,C13J,N
3337,C02B,C04B,C12A,C13G,Y
3338,C02B,C04A,C12A,C13B,N
3339,C02C,C04B,C12A,C13B,N
3340,C02B,C04B,C12D,C13I,N
3341,C02B,C04B,C12A,C13B,Y
3342,C02C,C04A,C12A,C13H,N
3343,C02B,C04B,C12A,C13B,Y
3344,C02D,C04B,C12A,C13H,N
3345,C02A,C04B,C12A,C13A,N
3346,C02D,C04B,C12A,C13G,Y
3347,C02C,C04B,C12A,C13H,N
3348,C02A,C04A,C12B,C13C,N
3349,C02A,C04A,C12B,C13K,N
3350,C02B,C04B,C12D,C13B,N
3351,C02A,C04A,C12A,C13H,Y
3352,C02B,C04A,C12B,C13H,N
3353,C02B,C04B,C12A,C13G,N
3354,C02C,C04B,C12A,C13B,Y
3355,C02C,C04B,C12C,C13E,N
3356,C02D,C04B,C12A,C13B,N
3357,C02C,C04A,C12B,C13H,N
3358,C02B,C04A,C12A,C13J,N
3359,C02C,C04A,C12A,C13B,N
3360,C02A,C04A,C12A,C13B,N
3361,C02C,C04A,C12B,C13H,N
3362,C02B,C04A,C12A,C13B,N
3363,C02B,C04A,C12A,C13J,N
3364,C02A,C04B,C12A,C13J,N
3365,C02D,C04A,C12A,C13J,N
3366,C02B,C04B,C12A,C13I,N
3367,C02B,C04B,C12A,C13H,N
3368,C02A,C04B,C12D,C13H,N
3369,C02B,C04B,C12A,C13B,Y
3370,C02A,C04B,C12A,C13H,N
3371,C02C,C04A,C12A,C13K,N
3372,C02B,C04A,C12A,C13H,N
3373,C02B,C04B,C12A,C13C,N
3374,C02D,C04A,C12A,C13J,N
3375,C02C,C04B,C12D,C13G,N
3376,C02C,C04B,C12A,C13B,N
3377,C02B,C04B,C12A,C13D,N
3378,C02D,C04A,C12A,C13B,N
3379,C02B,C04B,C12A,C13H,N
3380,C02B,C04A,C12A,C13B,N
3381,C02B,C04A,C12A,C13H,N
3382,C02D,C04A,C12A,C13L,N
3383,C02C,C04A,C12A,C13F,N
3384,C02C,C04B,C12A,C13I,Y
3385,C02B,C04A,C12A,C13A,Y
3386,C02B,C04A,C12A,C13J,N
3387,C02C,C04A,C12A,C13K,N
3388,C02D,C04A,C12D,C13K,Y
3389,C02B,C04B,C12A,C13B,N
3390,C02B,C04B,C12D,C13G,N
3391,C02B,C04B,C12A,C13F,N
3392,C02D,C04A,C12B,C13B,N
3393,C02C,C04B,C12C,C13J,N
3394,C02B,C04B,C12A,C13H,N
3395,C02B,C04B,C12C,C13H,N
3396,C02B,C04B,C12A,C13G,N
3397,C02A,C04B,C12A,C13G,N
3398,C02C,C04B,C12A,C13B,N
3399,C02A,C04A,C12A,C13B,N
3400,C02D,C04B,C12A,C13D,N
3401,C02B,C04B,C12B,C13C,N
3402,C02C,C04A,C12A,C13A,N
3403,C02A,C04B,C12A,C13B,N
3404,C02A,C04A,C12A,C13H,N
3405,C02B,C04A,C12A,C13J,Y
3406,C02C,C04A,C12A,C13B,N
3407,C02C,C04B,C12A,C13B,N
3408,C02B,C04B,C12A,C13I,N
3409,C02D,C04A,C12A,C13B,N
3410,C02B,C04B,C12A,C13G,N
3411,C02A,C04A,C12A,C13D,N
3412,C02B,C04B,C12A,C13A,N
3413,C02C,C04B,C12A,C13H,N
3414,C02C,C04A,C12A,C13E,N
3415,C02B,C04B,C12C,C13B,N
3416,C02A,C04B,C12A,C13B,N
3417,C02A,C04A,C12A,C13B,Y
3418,C02A,C04B,C12A,C13C,Y
3419,C02C,C04A,C12A,C13D,N
3420,C02A,C04B,C12A,C13F,N
3421,C02D,C04B,C12A,C13L,N
3422,C02A,C04A,C12A,C13C,Y
3423,C02C,C04A,C12A,C13B,N
3424,C02C,C04B,C12A,C13B,Y
3425,C02B,C04A,C12B,C13B,N
3426,C02C,C04A,C12A,C13D,N
3427,C02D,C04A,C12A,C13B,Y
3428,C02B,C04B,C12A,C13A,Y
3429,C02A,C04A,C12C,C13B,N
3430,C02C,C04A,C12A,C13C,Y
3431,C02C,C04A,C12D,C13G,N
3432,C02C,C04B,C12A,C13J,Y
3433,C02C,C04B,C12A,C13G,Y
3434,C02B,C04A,C12A,C13D,Y
3435,C02B,C04B,C12A,C13C,N
3436,C02B,C04A,C12A,C13A,N
3437,C02D,C04A,C12A,C13B,Y
3438,C02A,C04B,C12A,C13J,Y
3439,C02D,C04A,C12A,C13H,N
3440,C02B,C04B,C12A,C13B,N
3441,C02C,C04B,C12A,C13B,Y
3442,C02C,C04A,C12A,C13C,N
3443,C02C,C04A,C12A,C13L,N
3444,C02A,C04A,C12A,C13B,Y
3445,C02C,C04A,C12A,C13D,N
3446,C02C,C04A,C12A,C13F,N
3447,C02D,C04B,C12A,C13B,N
3448,C02B,C04A,C12A,C13B,N
3449,C02B,C04A,C12A,C13C,N
3450,C02B,C04B,C12A,C13K,N
3451,C02C,C04A,C12A,C13E,N
3452,C02C,C04A,C12A,C13B,N
3453,C02B,C04B,C12A,C13B,N
3454,C02C,C04A,C12D,C13L,N
3455,C02B,C04A,C12D,C13J,Y
3456,C02D,C04A,C12A,C13A,Y
3457,C02B,C04A,C12B,C13B,N
3458,C02B,C04A,C12C,C13I,N
3459,C02C,C04B,C12D,C13C,Y
3460,C02B,C04A,C12A,C13K,Y
3461,C02B,C04B,C12B,C13J,N
3462,C02D,C04A,C12A,C13B,N
3463,C02A,C04B,C12A,C13C,N
3464,C02D,C04B,C12A,C13C,N
3465,C02D,C04A,C12A,C13K,N
3466,C02D,C04B,C12A,C13B,N
3467,C02C,C04A,C12A,C13B,N
3468,C02D,C04B,C12B,C13B,N
3469,C02A,C04A,C12D,C13H,N
3470,C02D,C04A,C12A,C13B,Y
3471,C02A,C04B,C12D,C13B,N
3472,C02C,C04B,C12A,C13G,N
3473,C02C,C04B,C12A,C13G,N
3474,C02C,C04A,C12A,C13D,N
3475,C02B,C04B,C12A,C13C,N
3476,C02B,C04B,C12A,C13H,N
3477,C02B,C04A,C12D,C13L,N
3478,C02D,C04B,C12D,C13B,N
3479,C02B,C04A,C12A,C13C,N
3480,C02B,C04B,C12A,C13K,N
3481,C02A,C04B,C12B,C13B,N
3482,C02A,C04A,C12A,C13I,N
3483,C02A,C04A,C12A,C13B,N
3484,C02B,C04A,C12D,C13C,N
3485,C02C,C04B,C12A,C13G,Y
3486,C02D,C04A,C12A,C13A,N
3487,C02B,C04B,C12A,C13B,N
3488,C02A,C04B,C12A,C13C,N
3489,C02B,C04A,C12A,C13B,N
3490,C02A,C04B,C12A,C13B,N
3491,C02C,C04B,C12D,C13B,Y
3492,C02C,C04A,C12C,C13C,N
3493,C02B,C04A,C12A,C13B,N
3494,C02B,C04B,C12A,C13L,N
3495,C02C,C04B,C12A,C13K,N
3496,C02D,C04B,C12A,C13C,N
3497,C02C,C04B,C12A,C13D,N
3498,C02B,C04B,C12A,C13J,Y
3499,C02B,C04B,C12B,C13B,N
3500,C02A,C04B,C12A,C13J,N
3501,C02C,C04B,C12A,C13K,N
3502,C02D,C04B,C12B,C13H,N
3503,C02B,C04A,C12A,C13J,N
3504,C02A,C04A,C12A,C13E,N
3505,C02D,C04B,C12B,C13K,N
3506,C02B,C04A,C12A,C13B,Y
3507,C02D,C04B,C12A,C13D,Y
3508,C02C,C04B,C12D,C13B,N
3509,C02D,C04B,C12A,C13C,N
3510,C02C,C04A,C12A,C13B,N
3511,C02C,C04B,C12A,C13J,N
3512,C02A,C04B,C12A,C13J,N
3513,C02B,C04A,C12A,C13C,N
3514,C02B,C04B,C12A,C13H,Y
3515,C02C,C04B,C12C,C13B,N
3516,C02A,C04A,C12A,C13J,Y
3517,C02B,C04A,C12A,C13J,N
3518,C02C,C04B,C12A,C13B,Y
3519,C02D,C04A,C12A,C13B,N
3520,C02D,C04A,C12A,C13H,N
3521,C02C,C04B,C12A,C13E,N
3522,C02C,C04A,C12A,C13J,Y
3523,C02B,C04A,C12A,C13C,N
3524,C02B,C04A,C12A,C13J,N
3525,C02B,C04B,C12A,C13B,N
3526,C02C,C04A,C12A,C13E,N
3527,C02A,C04B,C12A,C13B,N
3528,C02B,C04B,C12A,C13C,Y
3529,C02C,C04B,C12A,C13A,N
3530,C02C,C04B,C12B,C13J,N
3531,C02C,C04B,C12A,C13B,N
3532,C02D,C04A,C12C,C13J,Y
3533,C02B,C04B,C12A,C13I,Y
3534,C02A,C04A,C12D,C13B,N
3535,C02B,C04A,C12A,C13D,N
3536,C02D,C04B,C12D,C13A,N
3537,C02C,C04B,C12A,C13B,Y
3538,C02B,C04B,C12B,C13D,N
3539,C02C,C04B,C12A,C13E,Y
3540,C02C,C04A,C12A,C13B,N
3541,C02B,C04B,C12A,C13J,Y
3542,C02A,C04A,C12A,C13C,N
3543,C02A,C04A,C12A,C13B,N
3544,C02C,C04A,C12A,C13B,N
3545,C02B,C04A,C12A,C13I,N
3546,C02B,C04A,C12B,C13J,N
3547,C02D,C04B,C12A,C13J,Y
3548,C02D,C04B,C12C,C13K,N
3549,C02A,C04A,C12B,C13J,Y
3550,C02B,C04A,C12B,C13J,N
3551,C02C,C04B,C12D,C13H,Y
3552,C02D,C04A,C12A,C13J,N
3553,C02C,C04A,C12A,C13B,N
3554,C02C,C04A,C12A,C13B,Y
3555,C02B,C04A,C12A,C13H,N
3556,C02D,C04B,C12B,C13B,N
3557,C02B,C04B,C12A,C13H,N
3558,C02B,C04A,C12A,C13E,Y
3559,C02D,C04B,C12A,C13A,N
3560,C02D,C04A,C12B,C13A,N
3561,C02B,C04A,C12A,C13L,N
3562,C02D,C04B,C12A,C13B,Y
3563,C02C,C04B,C12A,C13B,N
3564,C02D,C04A,C12A,C13C,N
3565,C02D,C04A,C12A,C13A,N
3566,C02B,C04B,C12D,C13C,N
3567,C02B,C04A,C12B,C13H,N
3568,C02A,C04A,C12A,C13J,N
3569,C02A,C04B,C12D,C13B,Y
3570,C02C,C04A,C12D,C13G,Y
3571,C02B,C04B,C12A,C13B,N
3572,C02C,C04B,C12A,C13J,N
3573,C02B,C04B,C12D,C13B,N
3574,C02B,C04B,C12D,C13J,N
3575,C02C,C04B,C12A,C13F,Y
3576,C02B,C04A,C12A,C13B,N
3577,C02A,C04B,C12A,C13B,Y
3578,C02D,C04A,C12A,C13L,N
3579,C02B,C04A,C12A,C13B,N
3580,C02C,C04B,C12A,C13D,N
3581,C02C,C04A,C12A,C13K,N
3582,C02A,C04B,C12A,C13B,N
3583,C02A,C04A,C12A,C13D,N
3584,C02C,C04A,C12C,C13J,N
3585,C02B,C04A,C12D,C13B,N
3586,C02D,C04B,C12A,C13H,N
3587,C02C,C04B,C12A,C13D,N
3588,C02C,C04B,C12B,C13J,N
3589,C02B,C04A,C12A,C13B,N
3590,C02A,C04B,C12A,C13B,N
3591,C02B,C04B,C12A,C13C,N
3592,C02B,C04A,C12A,C13L,Y
3593,C02B,C04B,C12A,C13A,N
3594,C02C,C04B,C12A,C13B,N
3595,C02B,C04B,C12A,C13H,Y
3596,C02A,C04B,C12B,C13A,N
3597,C02B,C04B,C12A,C13B,Y
3598,C02C,C04B,C12A,C13A,Y
3599,C02B,C04B,C12A,C13A,N
3600,C02C,C04A,C12D,C13K,N
3601,C02C,C04B,C12A,C13B,N
3602,C02B,C04B,C12A,C13E,N
3603,C02B,C04B,C12A,C13B,N
3604,C02B,C04A,C12D,C13A,N
3605,C02A,C04A,C12A,C13B,N
3606,C02A,C04B,C12A,C13C,N
3607,C02C,C04A,C12A,C13C,N
3608,C02C,C04B,C12A,C13J,N
3609,C02B,C04A,C12B,C13D,Y
3610,C02A,C04B,C12D,C13C,N
3611,C02B,C04A,C12B,C13G,Y
3612,C02D,C04A,C12A,C13C,N
3613,C02B,C04B,C12A,C13D,N
3614,C02A,C04A,C12A,C13B,N
3615,C02B,C04A,C12A,C13J,N
3616,C02B,C04A,C12A,C13B,N
3617,C02B,C04B,C12A,C13G,N
3618,C02B,C04A,C12A,C13C,N
3619,C02D,C04B,C12A,C13C,Y
3620,C02A,C04B,C12D,C13B,N
3621,C02C,C04B,C12B,C13B,N
3622,C02B,C04B,C12A,C13H,N
3623,C02C,C04A,C12A,C13A,N
3624,C02C,C04A,C12B,C13C,N
3625,C02C,C04A,C12C,C13B,N
3626,C02B,C04B,C12A,C13B,Y
3627,C02B,C04B,C12A,C13J,N
3628,C02C,C04B,C12A,C13E,N
3629,C02B,C04A,C12B,C13B,N
3630,C02B,C04A,C12B,C13J,N
3631,C02C,C04B,C12B,C13E,N
3632,C02C,C04A,C12A,C13B,N
3633,C02B,C04A,C12B,C13B,N
3634,C02B,C04B,C12D,C13H,N
3635,C02D,C04A,C12B,C13J,N
3636,C02B,C04A,C12A,C13B,N
3637,C02C,C04A,C12B,C13A,Y
3638,C02D,C04B,C12A,C13F,Y
3639,C02A,C04A,C12A,C13C,N
3640,C02B,C04B,C12B,C13J,N
3641,C02C,C04A,C12A,C13D,Y
3642,C02D,C04B,C12A,C13B,N
3643,C02C,C04A,C12A,C13H,N
3644,C02B,C04A,C12B,C13K,N
3645,C02B,C04A,C12A,C13B,N
3646,C02C,C04A,C12A,C13A,N
3647,C02C,C04B,C12A,C13A,N
3648,C02C,C04A,C12A,C13A,N
3649,C02C,C04B,C12D,C13F,N
3650,C02D,C04A,C12A,C13B,N
3651,C02B,C04A,C12A,C13D,N
3652,C02D,C04A,C12A,C13H,N
