,age_group,sex,class
7160,C02C,C04A,N
7161,C02D,C04B,N
7162,C02B,C04A,N
7163,C02A,C04A,N
7164,C02D,C04A,N
7165,C02B,C04B,N
7166,C02C,C04B,N
7167,C02B,C04B,N
7168,C02B,C04A,N
7169,C02A,C04A,N
7170,C02C,C04A,N
7171,C02B,C04A,N
7172,C02B,C04A,N
7173,C02B,C04A,N
7174,C02B,C04B,N
7175,C02C,C04B,Y
7176,C02C,C04B,N
7177,C02A,C04A,N
7178,C02B,C04B,N
7179,C02A,C04A,N
7180,C02A,C04B,N
7181,C02D,C04B,N
7182,C02B,C04B,N
7183,C02A,C04B,N
7184,C02A,C04B,N
7185,C02B,C04A,N
7186,C02D,C04A,N
7187,C02D,C04B,N
7188,C02C,C04A,N
7189,C02C,C04A,N
7190,C02D,C04A,N
7191,C02B,C04B,N
7192,C02D,C04A,N
7193,C02D,C04B,N
7194,C02C,C04A,N
7195,C02A,C04B,N
7196,C02B,C04A,N
7197,C02B,C04B,N
7198,C02B,C04A,N
7199,C02B,C04B,N
7200,C02D,C04B,N
7201,C02B,C04A,N
7202,C02B,C04B,N
7203,C02D,C04B,N
7204,C02C,C04B,Y
7205,C02B,C04A,N
7206,C02C,C04A,N
7207,C02D,C04B,N
7208,C02C,C04B,N
7209,C02B,C04A,N
7210,C02B,C04A,N
7211,C02A,C04B,N
7212,C02C,C04B,N
7213,C02D,C04B,Y
7214,C02C,C04A,N
7215,C02D,C04A,N
7216,C02B,C04A,N
7217,C02C,C04A,N
7218,C02C,C04A,Y
7219,C02B,C04B,N
7220,C02C,C04B,Y
7221,C02D,C04B,N
7222,C02C,C04B,N
7223,C02C,C04B,Y
7224,C02C,C04A,Y
7225,C02B,C04B,Y
7226,C02C,C04A,N
7227,C02C,C04A,N
7228,C02D,C04A,Y
7229,C02B,C04A,N
7230,C02C,C04B,N
7231,C02D,C04B,N
7232,C02B,C04B,N
7233,C02A,C04B,N
7234,C02A,C04A,N
7235,C02B,C04B,N
7236,C02B,C04B,N
7237,C02D,C04B,Y
7238,C02C,C04B,N
7239,C02A,C04B,N
7240,C02B,C04A,N
7241,C02A,C04B,N
7242,C02C,C04A,Y
7243,C02D,C04B,N
7244,C02D,C04A,N
7245,C02C,C04A,N
7246,C02C,C04B,N
7247,C02B,C04A,Y
7248,C02C,C04A,N
7249,C02B,C04B,N
7250,C02A,C04B,N
7251,C02C,C04B,N
7252,C02B,C04A,N
7253,C02B,C04A,N
7254,C02C,C04A,N
7255,C02C,C04A,Y
7256,C02D,C04B,N
7257,C02C,C04B,N
7258,C02A,C04A,N
7259,C02B,C04A,N
7260,C02C,C04A,N
7261,C02B,C04B,N
7262,C02A,C04A,N
7263,C02C,C04B,Y
7264,C02C,C04A,Y
7265,C02B,C04A,N
7266,C02B,C04A,N
7267,C02D,C04B,Y
7268,C02D,C04A,N
7269,C02A,C04A,N
7270,C02A,C04A,N
7271,C02D,C04A,N
7272,C02B,C04A,N
7273,C02B,C04B,N
7274,C02B,C04A,N
7275,C02C,C04A,N
7276,C02D,C04A,N
7277,C02B,C04B,Y
7278,C02B,C04B,N
7279,C02C,C04B,N
7280,C02B,C04B,N
7281,C02D,C04B,Y
7282,C02A,C04B,N
7283,C02D,C04B,N
7284,C02D,C04B,N
7285,C02D,C04B,N
7286,C02B,C04A,N
7287,C02D,C04A,N
7288,C02C,C04B,N
7289,C02C,C04B,N
7290,C02A,C04B,N
7291,C02D,C04A,N
7292,C02B,C04A,N
7293,C02C,C04A,N
7294,C02D,C04A,N
7295,C02D,C04B,N
7296,C02A,C04B,N
7297,C02A,C04A,N
7298,C02B,C04B,Y
7299,C02B,C04A,Y
7300,C02D,C04A,N
7301,C02B,C04A,N
7302,C02C,C04B,N
7303,C02D,C04A,N
7304,C02B,C04B,N
7305,C02C,C04B,N
7306,C02B,C04B,N
7307,C02B,C04A,Y
7308,C02D,C04B,N
7309,C02C,C04A,N
7310,C02B,C04B,N
7311,C02B,C04B,Y
7312,C02C,C04A,N
7313,C02B,C04A,N
7314,C02C,C04B,N
7315,C02B,C04B,Y
7316,C02B,C04B,N
7317,C02B,C04B,N
7318,C02C,C04B,N
7319,C02B,C04B,N
7320,C02A,C04A,Y
7321,C02D,C04A,N
7322,C02B,C04B,N
7323,C02A,C04A,N
7324,C02A,C04A,Y
7325,C02D,C04A,N
7326,C02C,C04B,N
7327,C02B,C04B,N
7328,C02B,C04A,N
7329,C02B,C04B,N
7330,C02C,C04B,N
7331,C02A,C04A,N
7332,C02B,C04B,N
7333,C02C,C04B,N
7334,C02B,C04B,N
7335,C02C,C04A,N
7336,C02C,C04B,N
7337,C02C,C04B,Y
7338,C02B,C04B,Y
7339,C02B,C04A,N
7340,C02B,C04A,N
7341,C02C,C04A,N
7342,C02B,C04B,N
7343,C02B,C04B,N
7344,C02D,C04A,N
7345,C02A,C04B,N
7346,C02B,C04A,N
7347,C02B,C04B,N
7348,C02B,C04A,Y
7349,C02C,C04B,Y
7350,C02A,C04A,N
7351,C02B,C04B,N
7352,C02B,C04A,N
7353,C02B,C04B,N
7354,C02B,C04A,N
7355,C02B,C04B,N
7356,C02A,C04A,Y
7357,C02C,C04B,N
7358,C02D,C04A,N
7359,C02A,C04B,N
7360,C02B,C04A,Y
7361,C02C,C04B,N
7362,C02D,C04B,N
7363,C02B,C04B,N
7364,C02C,C04B,N
7365,C02B,C04B,Y
7366,C02B,C04B,N
7367,C02C,C04B,Y
7368,C02B,C04A,Y
7369,C02A,C04B,N
7370,C02D,C04B,N
7371,C02B,C04A,N
7372,C02A,C04B,N
7373,C02A,C04A,N
7374,C02B,C04B,Y
7375,C02B,C04B,N
7376,C02B,C04A,N
7377,C02D,C04A,N
7378,C02B,C04A,N
7379,C02B,C04B,N
7380,C02A,C04B,N
7381,C02A,C04A,N
7382,C02C,C04A,N
7383,C02B,C04A,N
7384,C02B,C04A,Y
7385,C02C,C04A,N
7386,C02D,C04B,N
7387,C02B,C04A,N
7388,C02B,C04A,Y
7389,C02A,C04B,N
7390,C02B,C04B,N
7391,C02A,C04B,N
7392,C02D,C04B,N
7393,C02B,C04A,N
7394,C02C,C04A,N
7395,C02B,C04B,Y
7396,C02D,C04A,N
7397,C02A,C04B,N
7398,C02D,C04A,N
7399,C02D,C04A,N
7400,C02C,C04B,N
7401,C02C,C04A,N
7402,C02A,C04A,N
7403,C02A,C04B,N
7404,C02D,C04A,N
7405,C02B,C04B,N
7406,C02B,C04B,N
7407,C02B,C04B,N
7408,C02B,C04A,Y
7409,C02C,C04B,Y
7410,C02D,C04A,N
7411,C02B,C04A,N
7412,C02C,C04A,N
7413,C02C,C04A,N
7414,C02C,C04B,N
7415,C02B,C04A,N
7416,C02D,C04B,N
7417,C02D,C04A,N
7418,C02C,C04B,Y
7419,C02D,C04A,Y
7420,C02D,C04B,N
7421,C02C,C04A,Y
7422,C02B,C04B,N
7423,C02B,C04A,N
7424,C02C,C04B,N
7425,C02C,C04A,N
7426,C02D,C04B,N
7427,C02C,C04A,N
7428,C02C,C04A,Y
7429,C02D,C04B,N
7430,C02C,C04B,N
7431,C02B,C04B,N
7432,C02D,C04B,N
7433,C02B,C04A,Y
7434,C02C,C04B,N
7435,C02A,C04A,N
7436,C02C,C04B,N
7437,C02B,C04A,Y
7438,C02D,C04A,N
7439,C02B,C04B,N
7440,C02D,C04B,N
7441,C02A,C04B,N
7442,C02C,C04B,N
7443,C02C,C04B,N
7444,C02C,C04A,Y
7445,C02C,C04A,N
7446,C02C,C04B,N
7447,C02D,C04A,N
7448,C02B,C04A,N
7449,C02C,C04B,N
7450,C02B,C04A,N
7451,C02B,C04A,N
7452,C02D,C04A,N
7453,C02C,C04B,N
7454,C02D,C04A,N
7455,C02A,C04A,N
7456,C02B,C04A,N
7457,C02C,C04B,Y
7458,C02C,C04A,N
7459,C02B,C04B,N
7460,C02B,C04B,N
7461,C02C,C04B,N
7462,C02C,C04B,N
7463,C02A,C04A,N
7464,C02C,C04A,N
7465,C02B,C04A,Y
7466,C02B,C04A,N
7467,C02A,C04B,N
7468,C02D,C04B,N
7469,C02C,C04B,N
7470,C02C,C04B,N
7471,C02D,C04A,N
7472,C02A,C04B,Y
7473,C02C,C04B,N
7474,C02A,C04B,Y
7475,C02C,C04A,N
7476,C02C,C04A,N
7477,C02B,C04A,Y
7478,C02C,C04A,N
7479,C02D,C04B,N
7480,C02A,C04B,N
7481,C02B,C04B,N
7482,C02B,C04B,Y
7483,C02C,C04B,N
7484,C02C,C04A,Y
7485,C02B,C04B,N
7486,C02B,C04B,N
7487,C02D,C04A,N
7488,C02B,C04A,Y
7489,C02D,C04A,N
7490,C02B,C04A,N
7491,C02C,C04B,N
7492,C02B,C04A,N
7493,C02B,C04A,N
7494,C02B,C04B,N
7495,C02B,C04A,N
7496,C02B,C04B,Y
7497,C02C,C04A,N
7498,C02C,C04A,N
7499,C02C,C04B,N
7500,C02B,C04B,Y
7501,C02D,C04A,N
7502,C02D,C04A,N
7503,C02A,C04B,N
7504,C02B,C04A,N
7505,C02B,C04B,N
7506,C02C,C04B,N
7507,C02A,C04A,Y
7508,C02B,C04A,Y
7509,C02C,C04A,N
7510,C02B,C04A,N
7511,C02C,C04B,N
7512,C02A,C04A,Y
7513,C02C,C04B,N
7514,C02D,C04B,N
7515,C02B,C04B,Y
7516,C02C,C04B,N
7517,C02B,C04B,N
7518,C02C,C04A,N
7519,C02D,C04B,N
7520,C02B,C04B,Y
7521,C02B,C04A,N
7522,C02B,C04A,N
7523,C02B,C04A,N
7524,C02C,C04B,N
7525,C02A,C04A,Y
7526,C02B,C04B,N
7527,C02B,C04B,N
7528,C02A,C04B,N
7529,C02B,C04B,N
7530,C02C,C04B,N
7531,C02C,C04B,N
7532,C02A,C04A,N
7533,C02B,C04B,N
7534,C02C,C04B,Y
7535,C02C,C04B,N
7536,C02B,C04A,N
7537,C02B,C04A,N
7538,C02C,C04B,N
7539,C02B,C04A,Y
7540,C02C,C04A,N
7541,C02B,C04B,N
7542,C02C,C04B,N
7543,C02C,C04B,N
7544,C02A,C04B,N
7545,C02D,C04B,N
7546,C02D,C04B,N
7547,C02B,C04B,Y
7548,C02A,C04A,Y
7549,C02B,C04B,Y
7550,C02B,C04B,N
7551,C02B,C04A,N
7552,C02B,C04B,N
7553,C02D,C04A,N
7554,C02D,C04A,N
7555,C02B,C04A,N
7556,C02C,C04A,N
7557,C02B,C04B,N
7558,C02C,C04B,N
7559,C02C,C04A,N
7560,C02B,C04A,Y
7561,C02B,C04A,N
7562,C02C,C04B,N
7563,C02C,C04B,N
7564,C02C,C04A,Y
7565,C02B,C04B,Y
7566,C02D,C04A,N
7567,C02C,C04B,N
7568,C02A,C04A,N
7569,C02A,C04A,N
7570,C02A,C04B,N
7571,C02C,C04A,Y
7572,C02A,C04B,Y
7573,C02C,C04B,N
7574,C02B,C04B,N
7575,C02C,C04B,N
7576,C02B,C04A,N
7577,C02C,C04A,N
7578,C02A,C04B,Y
7579,C02D,C04B,N
7580,C02C,C04B,Y
7581,C02B,C04B,N
7582,C02B,C04B,N
7583,C02C,C04B,N
7584,C02D,C04B,N
7585,C02C,C04A,Y
7586,C02D,C04B,N
7587,C02C,C04A,N
7588,C02B,C04B,N
7589,C02C,C04B,N
7590,C02C,C04A,N
7591,C02A,C04B,N
7592,C02A,C04A,Y
7593,C02B,C04B,N
7594,C02A,C04B,Y
7595,C02B,C04B,N
7596,C02B,C04A,Y
7597,C02B,C04A,N
7598,C02C,C04A,Y
7599,C02C,C04A,N
7600,C02A,C04A,N
7601,C02A,C04A,Y
7602,C02B,C04A,Y
7603,C02B,C04A,N
7604,C02C,C04A,Y
7605,C02A,C04A,N
7606,C02C,C04B,N
7607,C02C,C04A,N
7608,C02A,C04B,N
7609,C02A,C04A,N
7610,C02B,C04B,N
7611,C02A,C04B,N
7612,C02B,C04B,N
7613,C02B,C04B,N
7614,C02C,C04B,N
7615,C02B,C04A,N
7616,C02B,C04A,N
7617,C02C,C04A,N
7618,C02B,C04A,N
7619,C02A,C04A,N
7620,C02A,C04B,N
7621,C02C,C04A,N
7622,C02B,C04A,N
7623,C02C,C04B,Y
7624,C02B,C04B,N
7625,C02A,C04A,N
7626,C02B,C04A,N
7627,C02D,C04B,N
7628,C02B,C04B,N
7629,C02C,C04B,N
7630,C02B,C04B,N
7631,C02A,C04A,N
7632,C02A,C04B,N
7633,C02A,C04B,N
7634,C02D,C04B,N
7635,C02C,C04B,N
7636,C02B,C04B,N
7637,C02A,C04A,Y
7638,C02B,C04B,N
7639,C02C,C04A,Y
7640,C02A,C04B,N
7641,C02B,C04B,N
7642,C02C,C04B,N
7643,C02D,C04A,N
7644,C02A,C04A,N
7645,C02A,C04A,Y
7646,C02C,C04B,N
7647,C02C,C04A,Y
7648,C02C,C04A,Y
7649,C02B,C04B,Y
7650,C02B,C04B,Y
7651,C02C,C04B,N
7652,C02C,C04B,N
7653,C02B,C04B,Y
7654,C02C,C04A,N
7655,C02B,C04B,N
7656,C02C,C04A,N
7657,C02B,C04B,N
7658,C02B,C04A,Y
7659,C02A,C04B,N
7660,C02B,C04A,N
7661,C02D,C04A,N
7662,C02C,C04A,Y
7663,C02C,C04B,N
7664,C02A,C04B,N
7665,C02B,C04B,N
7666,C02C,C04A,N
7667,C02D,C04A,N
7668,C02A,C04B,N
7669,C02D,C04B,Y
7670,C02B,C04A,N
7671,C02B,C04A,N
7672,C02B,C04B,N
7673,C02B,C04A,N
7674,C02C,C04A,N
7675,C02C,C04A,N
7676,C02D,C04A,N
7677,C02A,C04A,N
7678,C02C,C04B,Y
7679,C02C,C04B,Y
7680,C02A,C04B,N
7681,C02B,C04B,N
7682,C02B,C04A,N
7683,C02D,C04B,N
7684,C02A,C04A,N
7685,C02C,C04B,Y
7686,C02D,C04A,N
7687,C02B,C04B,Y
7688,C02A,C04A,N
7689,C02A,C04B,Y
7690,C02D,C04B,N
7691,C02C,C04A,N
7692,C02B,C04A,Y
7693,C02A,C04A,N
7694,C02D,C04A,N
7695,C02B,C04A,N
7696,C02C,C04A,N
7697,C02B,C04B,N
7698,C02A,C04A,N
7699,C02A,C04A,Y
7700,C02C,C04B,N
7701,C02C,C04A,N
7702,C02B,C04B,N
7703,C02B,C04B,N
7704,C02B,C04A,Y
7705,C02A,C04B,N
7706,C02D,C04A,N
7707,C02B,C04B,N
7708,C02B,C04B,N
7709,C02C,C04A,N
7710,C02C,C04B,N
7711,C02C,C04A,N
7712,C02C,C04B,N
7713,C02B,C04A,N
7714,C02B,C04B,N
7715,C02C,C04B,Y
7716,C02C,C04B,Y
7717,C02A,C04A,N
7718,C02A,C04A,N
7719,C02D,C04B,Y
7720,C02D,C04B,N
7721,C02D,C04B,N
7722,C02D,C04B,N
7723,C02B,C04B,N
7724,C02C,C04A,N
7725,C02B,C04B,Y
7726,C02C,C04B,N
7727,C02A,C04B,N
7728,C02C,C04A,N
7729,C02C,C04B,N
7730,C02D,C04B,N
7731,C02B,C04B,Y
7732,C02A,C04B,N
7733,C02B,C04B,N
7734,C02D,C04B,N
7735,C02B,C04A,N
7736,C02D,C04A,N
7737,C02B,C04B,Y
7738,C02A,C04A,N
7739,C02A,C04A,Y
7740,C02C,C04B,N
7741,C02D,C04A,N
7742,C02C,C04B,N
7743,C02B,C04A,N
7744,C02C,C04A,Y
7745,C02D,C04B,N
7746,C02B,C04B,Y
7747,C02B,C04B,N
7748,C02B,C04A,N
7749,C02C,C04A,N
7750,C02C,C04A,N
7751,C02C,C04B,N
7752,C02A,C04A,N
7753,C02A,C04B,N
7754,C02D,C04A,N
7755,C02C,C04A,N
7756,C02A,C04A,Y
7757,C02D,C04B,Y
7758,C02C,C04B,Y
7759,C02D,C04B,N
7760,C02B,C04B,N
7761,C02A,C04A,N
7762,C02A,C04A,N
7763,C02C,C04B,N
7764,C02B,C04A,N
7765,C02D,C04B,N
7766,C02A,C04A,N
7767,C02B,C04B,N
7768,C02B,C04A,Y
7769,C02B,C04A,Y
7770,C02D,C04B,N
7771,C02A,C04B,Y
7772,C02C,C04B,N
7773,C02C,C04A,Y
7774,C02D,C04B,N
7775,C02A,C04B,N
7776,C02D,C04A,N
7777,C02A,C04A,N
7778,C02D,C04A,N
7779,C02C,C04B,N
7780,C02D,C04A,N
7781,C02D,C04B,N
7782,C02C,C04B,N
7783,C02B,C04A,N
7784,C02C,C04B,N
7785,C02B,C04A,N
7786,C02B,C04B,N
7787,C02A,C04A,N
7788,C02C,C04B,N
7789,C02B,C04B,N
7790,C02A,C04A,N
7791,C02C,C04B,N
7792,C02C,C04A,N
7793,C02B,C04B,N
7794,C02C,C04B,Y
7795,C02B,C04A,N
7796,C02D,C04B,N
7797,C02C,C04B,N
7798,C02B,C04A,N
7799,C02C,C04A,N
7800,C02D,C04A,N
7801,C02C,C04A,N
7802,C02C,C04A,N
7803,C02C,C04B,N
7804,C02C,C04A,N
7805,C02C,C04A,N
7806,C02D,C04B,N
7807,C02C,C04B,N
7808,C02C,C04A,N
7809,C02A,C04B,N
7810,C02D,C04B,N
7811,C02A,C04B,N
7812,C02B,C04B,Y
7813,C02C,C04B,N
7814,C02B,C04A,N
7815,C02D,C04B,N
7816,C02A,C04B,N
7817,C02A,C04A,N
7818,C02C,C04A,N
7819,C02C,C04A,Y
7820,C02C,C04A,N
7821,C02C,C04A,N
7822,C02B,C04A,Y
7823,C02D,C04A,N
7824,C02A,C04A,N
7825,C02C,C04B,N
7826,C02B,C04A,N
7827,C02B,C04A,N
7828,C02C,C04A,N
7829,C02C,C04A,N
7830,C02A,C04B,N
7831,C02D,C04A,N
7832,C02A,C04B,N
7833,C02C,C04A,N
7834,C02C,C04B,N
7835,C02B,C04A,Y
7836,C02A,C04A,N
7837,C02B,C04B,N
7838,C02C,C04A,N
7839,C02B,C04A,N
7840,C02D,C04B,N
7841,C02C,C04B,N
7842,C02C,C04A,N
7843,C02B,C04A,N
7844,C02D,C04A,N
7845,C02B,C04A,Y
7846,C02C,C04A,N
7847,C02C,C04B,N
7848,C02C,C04A,N
7849,C02D,C04B,N
7850,C02D,C04A,N
7851,C02C,C04B,Y
7852,C02A,C04B,N
7853,C02B,C04B,N
7854,C02B,C04A,N
7855,C02A,C04A,Y
7856,C02B,C04B,N
7857,C02B,C04B,N
7858,C02C,C04B,N
7859,C02D,C04B,N
7860,C02C,C04B,N
7861,C02C,C04A,N
7862,C02C,C04B,N
7863,C02B,C04A,N
7864,C02D,C04A,N
7865,C02B,C04A,N
7866,C02C,C04A,N
7867,C02B,C04B,N
7868,C02D,C04B,Y
7869,C02C,C04A,N
7870,C02D,C04B,N
7871,C02C,C04A,N
7872,C02B,C04A,N
7873,C02B,C04A,N
7874,C02C,C04B,Y
7875,C02C,C04B,N
7876,C02B,C04B,N
7877,C02C,C04A,N
7878,C02B,C04A,N
7879,C02B,C04B,N
7880,C02B,C04A,N
7881,C02A,C04B,N
7882,C02C,C04A,N
7883,C02C,C04A,N
7884,C02C,C04A,N
7885,C02A,C04A,N
7886,C02A,C04A,N
7887,C02A,C04A,Y
7888,C02B,C04A,N
7889,C02B,C04A,Y
7890,C02B,C04B,N
7891,C02A,C04A,Y
7892,C02B,C04B,N
7893,C02B,C04A,N
7894,C02C,C04A,N
7895,C02C,C04A,N
7896,C02C,C04B,N
7897,C02B,C04A,N
7898,C02C,C04B,N
7899,C02D,C04B,N
7900,C02C,C04B,Y
7901,C02C,C04B,N
7902,C02C,C04B,N
7903,C02B,C04B,N
7904,C02C,C04A,N
7905,C02B,C04B,N
7906,C02C,C04A,N
7907,C02B,C04A,N
7908,C02B,C04A,N
7909,C02C,C04A,N
7910,C02B,C04B,N
7911,C02C,C04B,N
7912,C02C,C04A,Y
7913,C02B,C04A,N
7914,C02A,C04A,N
7915,C02A,C04A,Y
7916,C02C,C04A,N
7917,C02B,C04A,N
7918,C02B,C04B,N
7919,C02C,C04A,N
7920,C02A,C04B,N
7921,C02B,C04A,N
7922,C02A,C04A,N
7923,C02B,C04B,N
7924,C02C,C04A,N
7925,C02C,C04A,N
7926,C02C,C04B,N
7927,C02C,C04B,N
7928,C02B,C04A,N
7929,C02B,C04B,N
7930,C02D,C04B,N
7931,C02A,C04A,N
7932,C02C,C04A,N
7933,C02B,C04A,Y
7934,C02C,C04B,N
7935,C02B,C04B,N
7936,C02B,C04A,N
7937,C02D,C04A,N
7938,C02B,C04B,N
7939,C02B,C04A,N
7940,C02C,C04A,N
7941,C02D,C04B,Y
7942,C02C,C04B,N
7943,C02A,C04B,N
7944,C02A,C04B,N
7945,C02A,C04A,N
7946,C02C,C04B,Y
7947,C02C,C04B,N
7948,C02B,C04B,N
7949,C02B,C04B,N
7950,C02D,C04A,N
7951,C02A,C04B,Y
7952,C02C,C04A,N
7953,C02C,C04A,N
7954,C02C,C04A,N
7955,C02D,C04B,N
7956,C02C,C04B,N
7957,C02D,C04B,N
7958,C02B,C04B,N
7959,C02D,C04B,Y
7960,C02B,C04A,N
7961,C02C,C04A,N
7962,C02B,C04B,N
7963,C02A,C04A,N
7964,C02C,C04B,N
7965,C02B,C04B,N
7966,C02C,C04B,Y
7967,C02B,C04A,Y
7968,C02C,C04B,Y
7969,C02B,C04B,N
7970,C02C,C04A,N
7971,C02C,C04B,N
7972,C02C,C04A,N
7973,C02C,C04A,N
7974,C02D,C04B,N
7975,C02A,C04A,N
7976,C02C,C04B,N
7977,C02C,C04A,N
7978,C02C,C04B,N
7979,C02B,C04A,N
7980,C02B,C04A,N
7981,C02B,C04B,N
7982,C02B,C04B,N
7983,C02C,C04A,N
7984,C02C,C04A,N
7985,C02B,C04B,N
7986,C02B,C04B,N
7987,C02B,C04B,N
7988,C02B,C04A,N
7989,C02D,C04A,N
7990,C02A,C04B,Y
7991,C02B,C04B,N
7992,C02C,C04A,N
7993,C02B,C04A,N
7994,C02C,C04B,N
7995,C02B,C04A,N
7996,C02A,C04B,N
7997,C02A,C04A,N
7998,C02B,C04A,N
7999,C02D,C04A,N
8000,C02C,C04B,N
8001,C02C,C04B,N
8002,C02B,C04A,Y
8003,C02B,C04A,N
8004,C02D,C04B,N
8005,C02C,C04B,N
8006,C02D,C04B,N
8007,C02B,C04A,N
8008,C02A,C04A,N
8009,C02D,C04B,N
8010,C02B,C04A,N
8011,C02D,C04B,N
8012,C02D,C04A,N
8013,C02C,C04B,N
8014,C02B,C04B,N
8015,C02C,C04B,Y
8016,C02C,C04A,N
8017,C02B,C04B,N
8018,C02A,C04A,N
8019,C02B,C04B,N
8020,C02B,C04A,Y
8021,C02A,C04A,N
8022,C02B,C04B,Y
8023,C02C,C04A,N
8024,C02B,C04A,N
8025,C02B,C04B,N
8026,C02D,C04A,N
8027,C02C,C04A,N
8028,C02D,C04A,Y
8029,C02C,C04B,N
8030,C02A,C04B,N
8031,C02D,C04B,N
8032,C02A,C04A,N
8033,C02B,C04A,N
8034,C02A,C04B,N
8035,C02C,C04A,Y
8036,C02B,C04B,Y
8037,C02A,C04B,N
8038,C02C,C04B,N
8039,C02C,C04A,N
8040,C02D,C04B,N
8041,C02A,C04A,N
8042,C02D,C04B,N
8043,C02B,C04A,N
8044,C02A,C04B,N
8045,C02D,C04B,N
8046,C02B,C04A,N
8047,C02B,C04A,N
8048,C02B,C04B,N
8049,C02C,C04A,N
8050,C02B,C04A,N
8051,C02D,C04B,Y
8052,C02C,C04B,Y
8053,C02C,C04B,Y
8054,C02A,C04A,N
8055,C02B,C04A,N
8056,C02C,C04B,N
8057,C02B,C04B,N
8058,C02C,C04A,N
8059,C02B,C04A,N
8060,C02B,C04B,N
8061,C02C,C04B,N
8062,C02B,C04B,Y
8063,C02D,C04B,N
8064,C02D,C04B,N
8065,C02B,C04A,N
8066,C02A,C04A,N
8067,C02B,C04A,Y
8068,C02A,C04B,N
8069,C02C,C04A,N
8070,C02D,C04B,Y
8071,C02B,C04A,Y
8072,C02C,C04A,N
8073,C02B,C04B,N
8074,C02B,C04A,N
8075,C02C,C04B,N
8076,C02B,C04A,Y
8077,C02A,C04A,N
8078,C02B,C04A,N
8079,C02A,C04A,Y
8080,C02C,C04A,N
8081,C02B,C04A,N
8082,C02C,C04A,N
8083,C02D,C04A,N
8084,C02D,C04A,N
8085,C02C,C04A,N
8086,C02D,C04B,N
8087,C02C,C04B,Y
8088,C02B,C04A,N
8089,C02B,C04A,N
8090,C02B,C04B,N
8091,C02B,C04B,Y
8092,C02D,C04A,Y
8093,C02A,C04B,Y
8094,C02B,C04B,N
8095,C02D,C04A,N
8096,C02A,C04A,N
8097,C02B,C04B,N
8098,C02C,C04A,N
8099,C02B,C04B,N
8100,C02B,C04B,N
8101,C02A,C04A,N
8102,C02A,C04B,N
8103,C02C,C04B,N
8104,C02C,C04B,N
8105,C02B,C04B,N
8106,C02C,C04A,N
8107,C02C,C04B,N
8108,C02C,C04A,Y
8109,C02A,C04B,N
8110,C02A,C04B,N
8111,C02C,C04B,N
8112,C02B,C04A,N
8113,C02C,C04B,Y
8114,C02A,C04A,Y
8115,C02C,C04B,N
8116,C02D,C04A,N
8117,C02C,C04B,N
8118,C02C,C04A,N
8119,C02D,C04A,N
8120,C02D,C04A,N
8121,C02B,C04B,N
8122,C02B,C04B,N
8123,C02C,C04B,Y
8124,C02B,C04A,N
8125,C02B,C04A,N
8126,C02B,C04A,N
8127,C02D,C04B,N
8128,C02B,C04B,N
8129,C02B,C04A,Y
8130,C02C,C04B,N
8131,C02A,C04A,Y
8132,C02A,C04B,N
8133,C02B,C04A,Y
8134,C02A,C04B,Y
8135,C02B,C04A,N
8136,C02D,C04A,N
8137,C02A,C04A,Y
8138,C02C,C04A,N
8139,C02B,C04B,N
8140,C02C,C04A,N
8141,C02C,C04A,Y
8142,C02C,C04A,N
8143,C02D,C04B,Y
8144,C02C,C04B,Y
8145,C02A,C04B,N
8146,C02D,C04B,N
8147,C02C,C04B,N
8148,C02B,C04B,N
8149,C02B,C04A,N
8150,C02B,C04B,N
8151,C02A,C04A,Y
8152,C02C,C04A,N
8153,C02B,C04B,N
8154,C02D,C04B,N
8155,C02B,C04B,N
8156,C02B,C04A,Y
8157,C02C,C04B,N
8158,C02D,C04B,N
8159,C02B,C04A,N
8160,C02B,C04B,Y
8161,C02B,C04B,N
8162,C02B,C04B,N
8163,C02B,C04A,N
8164,C02B,C04B,N
8165,C02B,C04B,N
8166,C02D,C04B,N
8167,C02C,C04B,Y
8168,C02B,C04A,N
8169,C02D,C04B,N
8170,C02B,C04B,N
8171,C02B,C04A,Y
8172,C02A,C04A,N
8173,C02A,C04A,N
8174,C02C,C04B,Y
8175,C02C,C04A,N
8176,C02D,C04B,N
8177,C02B,C04A,Y
8178,C02C,C04A,N
8179,C02A,C04B,N
8180,C02B,C04A,N
8181,C02C,C04A,N
8182,C02C,C04A,N
8183,C02B,C04B,N
8184,C02C,C04A,N
8185,C02C,C04B,N
8186,C02B,C04A,N
8187,C02C,C04A,Y
8188,C02B,C04A,N
8189,C02A,C04B,Y
8190,C02B,C04A,N
8191,C02C,C04B,N
8192,C02B,C04A,N
8193,C02D,C04B,N
8194,C02C,C04A,N
8195,C02C,C04A,N
8196,C02A,C04B,N
8197,C02A,C04A,N
8198,C02C,C04B,N
8199,C02B,C04A,N
8200,C02A,C04B,N
8201,C02C,C04B,N
8202,C02D,C04A,N
8203,C02A,C04B,N
8204,C02A,C04B,N
8205,C02B,C04A,N
8206,C02B,C04A,N
8207,C02C,C04B,N
8208,C02C,C04A,N
8209,C02C,C04A,N
8210,C02B,C04A,N
8211,C02D,C04B,N
8212,C02C,C04B,N
8213,C02B,C04B,N
8214,C02D,C04A,N
8215,C02B,C04B,N
8216,C02C,C04B,N
8217,C02B,C04B,N
8218,C02B,C04B,N
8219,C02A,C04B,N
8220,C02A,C04B,N
